id,op,dest,src1,src2,route_term,stage,weight
1,SUB.D,F20,F2,F0,0,dx,1.452681292645832
2,SUB.D,F21,F3,F1,0,dy,1.452681292645832
3,MUL.D,F20,F20,F20,0,dx_squared,1.452681292645832
4,MUL.D,F21,F21,F21,0,dy_squared,1.452681292645832
5,ADD.D,F20,F20,F21,0,distance_squared,1.452681292645832
6,MUL.D,F20,F20,F4,0,weighted_distance,1.452681292645832
7,SUB.D,F22,F7,F5,1,dx,1.386108163076138
8,SUB.D,F23,F8,F6,1,dy,1.386108163076138
9,MUL.D,F22,F22,F22,1,dx_squared,1.386108163076138
10,MUL.D,F23,F23,F23,1,dy_squared,1.386108163076138
11,ADD.D,F22,F22,F23,1,distance_squared,1.386108163076138
12,MUL.D,F22,F22,F9,1,weighted_distance,1.386108163076138
13,SUB.D,F24,F12,F10,2,dx,0.728629530864944
14,SUB.D,F25,F13,F11,2,dy,0.728629530864944
15,MUL.D,F24,F24,F24,2,dx_squared,0.728629530864944
16,MUL.D,F25,F25,F25,2,dy_squared,0.728629530864944
17,ADD.D,F24,F24,F25,2,distance_squared,0.728629530864944
18,MUL.D,F24,F24,F14,2,weighted_distance,0.728629530864944
19,SUB.D,F26,F17,F15,3,dx,1.5409881101945655
20,SUB.D,F27,F18,F16,3,dy,1.5409881101945655
21,MUL.D,F26,F26,F26,3,dx_squared,1.5409881101945655
22,MUL.D,F27,F27,F27,3,dy_squared,1.5409881101945655
23,ADD.D,F26,F26,F27,3,distance_squared,1.5409881101945655
24,MUL.D,F26,F26,F19,3,weighted_distance,1.5409881101945655
25,ADD.D,F28,F20,F22,1,weighted_sum,
26,ADD.D,F28,F28,F24,2,weighted_sum,
27,ADD.D,F28,F28,F26,3,weighted_sum,
